Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
PPP4R2	ENSG00000163605.14	15.535	12.295	0.315	0.000927	3.0329202658555
GTPBP8	ENSG00000163607.14	7.215	6.19	0.192	0.00758	2.12033079436795
SPICE1	ENSG00000163611.11	4.87	6.075	-0.269	2.45E-07	-6.61083391563547
KIAA1407	ENSG00000163617.10	2.415	5.525	-0.934	2.22E-54	-53.6536470255494
NKX6-1	ENSG00000163623.9	0.12	0.02	0.135	2.01E-13	12.6968039425795
WDFY3	ENSG00000163625.15	11.17	10.225	0.117	0.49	0.309803919971486
PTPN13	ENSG00000163629.12	11.565	9.635	0.241	0.435	0.361510743045363
SYNPR	ENSG00000163630.10	0	0.01	-0.014	0.000107	-3.97061622231479
THOC7	ENSG00000163634.11	56.561	44.865	0.328	8.69E-19	18.0609802235513
PSMD6	ENSG00000163636.10	54.53	49.29	0.143	0.000287	3.54211810326601
PRICKLE2	ENSG00000163637.11	1.865	6.31	-1.351	6.65E-71	-70.1771783546969
PPM1K	ENSG00000163644.14	12.35	11.34	0.114	0.48	0.318758762624413
ERICH6	ENSG00000163645.14	0.15	0.11	0.051	0.00883	2.05403929642243
GMPS	ENSG00000163655.15	21.825	14.835	0.528	3.17E-22	21.4989407377822
TIPARP	ENSG00000163659.12	13.725	17.019	-0.291	0.000272	-3.5654310959658
PTX3	ENSG00000163661.3	0.2	0.825	-0.605	8.98E-33	-32.0467236633327
HESX1	ENSG00000163666.8	1.17	0.99	0.125	0.0241	1.61798295742513
SLMAP	ENSG00000163681.14	27.96	41.679	-0.559	2.96E-19	-18.5287082889411
RPL9	ENSG00000163682.15	1582.401	1277.891	0.308	5.55E-09	8.25570701687732
SMIM14	ENSG00000163683.11	50.185	23.15	1.084	2.52E-28	27.5985994592185
RPP14	ENSG00000163684.11	6.745	7.06	-0.058	0.00329	-2.48280410205003
RBM47	ENSG00000163694.14	55.976	27.98	0.975	4.78E-34	33.3205721033879
IL17RE	ENSG00000163701.18	3.255	10.27	-1.405	1.03E-38	-37.9871627752948
IL17RC	ENSG00000163702.18	58.594	74.385	-0.339	6.17E-09	-8.20971483596676
PRRT3	ENSG00000163704.11	4.905	2.855	0.615	6.26E-25	24.2034256667896
FANCD2OS	ENSG00000163705.12	0.03	0.07	-0.055	0.119	-0.924453038607469
PCOLCE2	ENSG00000163710.7	7.135	23.695	-1.602	1.02E-29	-28.9913998282381
U2SURP	ENSG00000163714.17	23.65	34.91	-0.543	2.19E-20	-19.6595558851599
MTMR14	ENSG00000163719.18	20.755	20.785	-0.002	0.859	-0.066006836168758
TTC14	ENSG00000163728.10	15.55	36.2	-1.168	2.35E-38	-37.6289321377283
PPBP	ENSG00000163736.3	0	0.08	-0.111	0.00245	-2.61083391563547
PF4	ENSG00000163737.3	0.05	0.06	-0.014	0.0349	-1.45717457304082
MTHFD2L	ENSG00000163738.18	16.765	10.92	0.576	6.7E-27	26.1739251972992
RCHY1	ENSG00000163743.13	17.865	16.205	0.133	0.0847	1.07211658966929
PLSCR2	ENSG00000163746.11	0.095	0.11	-0.02	0.0946	-1.02410886359821
GYG1	ENSG00000163754.17	43.081	43.96	-0.028	0.0142	-1.84771165561694
HPS3	ENSG00000163755.8	11.145	12.4	-0.142	0.024	-1.61978875828839
TM4SF18	ENSG00000163762.6	2.38	3.025	-0.252	0.0553	-1.2572748686953
TOPBP1	ENSG00000163781.12	7.8	10.445	-0.379	5.85E-11	-10.2328441339178
RYK	ENSG00000163785.12	30.5	34.14	-0.158	1.6E-06	-5.79588001734408
SNRK	ENSG00000163788.13	8.665	10.56	-0.258	1.7E-10	-9.76955107862173
TCF23	ENSG00000163792.6	0.01	0.02	-0.014	0.000316	-3.5003129173816
UCN	ENSG00000163794.6	1.58	1.95	-0.193	0.439	-0.357535479757879
ZNF513	ENSG00000163795.13	13.975	23.54	-0.713	3.88E-32	-31.4111682744058
SLC4A1AP	ENSG00000163798.13	13.475	12.555	0.095	0.342	0.465973893943865
PLB1	ENSG00000163803.12	1.785	4.415	-0.959	2.35E-60	-59.6289321377283
SPDYA	ENSG00000163806.15	0.66	1.335	-0.492	7.47E-14	-13.1266793981846
KIAA1143	ENSG00000163807.5	12.7	8.655	0.505	3.45E-11	10.4621809049267
KIF15	ENSG00000163808.16	0.715	0.485	0.208	5.34E-09	8.27245874297144
TGM4	ENSG00000163810.11	2.655	9.65	-1.543	2.14E-06	-5.66958622665081
WDR43	ENSG00000163811.11	13.46	9.975	0.398	1.75E-09	8.75696195131371
ZDHHC3	ENSG00000163812.13	29.27	35.854	-0.284	4.09E-12	-11.3882766919927
SLC6A20	ENSG00000163817.15	0.04	0.03	0.014	0.913	0.039529222465701
LZTFL1	ENSG00000163818.16	7.7	8.045	-0.056	0.00163	-2.78781239559604
FYCO1	ENSG00000163820.14	14.225	16.989	-0.241	9.21E-11	-10.0357403698032
LRRC2	ENSG00000163827.12	0.18	0.435	-0.282	2.03E-15	-14.6925039620868
FBXO40	ENSG00000163833.7	0	0.02	-0.029	0.0812	-1.09044397075882
ZNF148	ENSG00000163848.18	6.32	5.28	0.221	0.208	0.681936665037238
NMNAT3	ENSG00000163864.14	5.735	6.69	-0.191	3.77E-05	-4.42365864979421
SMIM12	ENSG00000163866.8	18.395	20.45	-0.145	7.5E-05	-4.1249387366083
ZMYM6	ENSG00000163867.16	5.39	8.185	-0.523	3.53E-29	-28.4522252946122
TPRA1	ENSG00000163870.14	31.665	33.82	-0.092	0.0198	-1.70333480973847
YEATS2	ENSG00000163872.15	9.18	11.43	-0.288	1.88E-07	-6.72584215073632
GRIK3	ENSG00000163873.9	0.18	0.805	-0.613	8.54E-57	-56.068542129311
ZC3H12A	ENSG00000163874.8	9.11	23.38	-1.27	7.88E-27	-26.1034737825104
MEAF6	ENSG00000163875.15	101.57	77.972	0.377	1.17E-05	4.93181413825384
SNIP1	ENSG00000163877.9	5.5	5.235	0.06	0.525	0.279840696594043
POLR2H	ENSG00000163882.9	76.19	65.746	0.21	6.87E-09	8.16304326294045
KLF15	ENSG00000163884.3	15.845	16.45	-0.051	0.777	-0.109578981199086
LIPH	ENSG00000163898.9	10.185	4.905	0.922	1.04E-26	25.9829666607012
TMEM41A	ENSG00000163900.10	14.67	12.33	0.233	3.3E-08	7.48148606012211
RPN1	ENSG00000163902.11	203.84	91.211	1.151	9.84E-65	64.0070049015687
SENP2	ENSG00000163904.12	11.05	11.87	-0.095	0.00336	-2.47366072261016
HEYL	ENSG00000163909.7	5.725	10.195	-0.735	1.28E-12	-11.8927900303521
IFT122	ENSG00000163913.11	10.465	15.465	-0.522	6.65E-31	-30.1771783546969
RHO	ENSG00000163914.4	0	0.01	-0.014	2.53E-21	-20.5968794788242
RFC4	ENSG00000163918.10	10.03	10.775	-0.094	0.311	-0.507239610973163
RPL39L	ENSG00000163923.9	7.15	10.354	-0.478	3.49E-09	-8.45717457304082
TKT	ENSG00000163931.15	121.355	94.536	0.357	2.5E-10	9.60205999132796
PRKCD	ENSG00000163932.13	53.18	40.53	0.384	3.78E-13	12.4225082001628
RFT1	ENSG00000163933.9	14.19	8.785	0.634	5.57E-34	33.2541448048263
SFMBT1	ENSG00000163935.13	3.58	3.995	-0.125	0.000332	-3.47886191629596
GNL3	ENSG00000163938.16	95.035	70.97	0.416	3.39E-12	11.4698003017969
PBRM1	ENSG00000163939.18	10.775	10.675	0.012	0.76	0.119186407719209
UVSSA	ENSG00000163945.15	3.285	7.224	-0.941	1.8E-26	-25.7447274948967
FAM208A	ENSG00000163946.13	23.01	22.129	0.054	0.871	0.059981844992337
SLBP	ENSG00000163950.12	31.296	24.439	0.344	1.76E-14	13.7544873321859
LRPAP1	ENSG00000163956.10	139.787	87.918	0.663	1.8E-19	18.7447274948967
ZDHHC19	ENSG00000163958.13	0.07	0.18	-0.141	7.58E-13	-12.1203307943679
SLC51A	ENSG00000163959.9	5.675	4.995	0.155	0.000406	3.39147396642281
UBXN7	ENSG00000163960.11	5.33	5.835	-0.111	0.0209	-1.67985371388895
RNF168	ENSG00000163961.4	4.49	5.21	-0.178	5.18E-07	-6.28567024025477
PIGX	ENSG00000163964.13	16.89	11.535	0.513	1.18E-26	25.9281179926939
MFI2	ENSG00000163975.11	2.815	5.4	-0.746	2.33E-41	-40.632644078974
S100P	ENSG00000163993.6	11.41	39.858	-1.719	2.42E-10	-9.61618463401957
EXO5	ENSG00000164002.11	4.22	4.535	-0.085	0.0088	-2.05551732784983
ERMAP	ENSG00000164010.13	8.305	8.455	-0.023	0.113	-0.94692155651658
ZNF691	ENSG00000164011.17	9.315	10.21	-0.12	2.43E-06	-5.61439372640169
SGMS2	ENSG00000164023.14	7.96	4.55	0.691	1.46E-08	7.83564714421556
METAP1	ENSG00000164024.11	30.29	30.169	0.006	0.248	0.605548319173784
H2AFZ	ENSG00000164032.11	131.115	132.164	-0.011	0.43	-0.366531544420413
SLC9B1	ENSG00000164037.16	0.72	0.58	0.122	5.21E-06	5.28316227670048
SLC9B2	ENSG00000164038.14	2.17	4.485	-0.791	6.63E-35	-34.1784864715952
PGRMC2	ENSG00000164040.16	44.544	35.351	0.325	6.73E-05	4.17198493577602
ZNF589	ENSG00000164048.13	13.63	17.48	-0.337	4.44E-07	-6.35261702988538
FBXW12	ENSG00000164049.14	0.02	0.07	-0.069	1.28E-35	-34.8927900303521
PLXNB1	ENSG00000164050.12	37.234	141.028	-1.893	3.85E-68	-67.4145392704915
SHISA5	ENSG00000164054.15	134.694	130.716	0.043	0.283	0.54821356447571
SPRY1	ENSG00000164056.10	24.789	46.298	-0.875	7.61E-27	-26.1186153432294
INTU	ENSG00000164066.12	1.93	6.44	-1.344	1.74E-67	-66.7594507517174
RNF123	ENSG00000164068.15	22.795	20.26	0.162	9.95E-06	5.00217691925428
HSPA4L	ENSG00000164070.11	1.19	2.375	-0.624	2.6E-28	-27.5850266520292
MFSD8	ENSG00000164073.9	4.77	7.74	-0.599	7.73E-33	-32.1118205060817
MON1A	ENSG00000164077.13	7.73	7.515	0.036	0.0706	1.1511952989482
MST1R	ENSG00000164078.12	0.94	3.795	-1.305	9.69E-54	-53.0136762229492
RAD54L2	ENSG00000164080.13	3.385	4.705	-0.38	1.85E-20	-19.732828271597
TEX264	ENSG00000164081.12	102.522	59.49	0.775	6.79E-45	44.1681302257195
GRM2	ENSG00000164082.14	0.15	0.285	-0.16	5.95E-20	-19.2254830342715
POC1A	ENSG00000164087.7	2.18	1.35	0.436	1.77E-22	21.7520267336382
PPM1M	ENSG00000164088.17	12.96	25.025	-0.899	5.46E-63	-62.2628073572953
ETNPPL	ENSG00000164089.8	0.05	0.055	-0.007	0.974	-0.011441043121385
WDR82	ENSG00000164091.11	33.555	33.914	-0.015	0.0243	-1.61439372640169
PITX2	ENSG00000164093.15	0.16	0.495	-0.366	3.16E-13	-12.5003129173816
PRSS12	ENSG00000164099.3	0.555	1.335	-0.586	6.02E-29	-28.2204035087422
NDST3	ENSG00000164100.8	0.03	0.06	-0.041	2.02E-13	-12.6946486305534
HMGB2	ENSG00000164104.11	46.075	50.331	-0.125	0.23	-0.638272163982407
SAP30	ENSG00000164105.3	11.29	10.495	0.096	0.221	0.655607726314889
SCRG1	ENSG00000164106.7	0.84	1.9	-0.656	2.35E-27	-26.6289321377283
HAND2	ENSG00000164107.8	0.19	1.61	-1.133	4.62E-65	-64.3353580244439
MAD2L1	ENSG00000164109.13	4.61	2.29	0.77	3.27E-32	31.4854522473397
TMEM155	ENSG00000164112.12	0.06	0.215	-0.197	2.6E-44	-43.5850266520292
MAP9	ENSG00000164114.18	6.8	4.305	0.556	1.35E-07	6.86966623150499
GUCY1A3	ENSG00000164116.16	34.321	17.114	0.963	1.13E-22	21.9469215565166
FBXO8	ENSG00000164117.12	18.181	14.285	0.328	0.000784	3.10568393731556
HPGD	ENSG00000164120.13	8.835	9.42	-0.083	0.148	-0.829738284605043
TMEM144	ENSG00000164124.10	6.495	5.02	0.316	1.02E-05	4.99139982823808
FAM198B	ENSG00000164125.15	19.77	11.325	0.753	2.88E-14	13.5406075122408
NPY1R	ENSG00000164128.6	0.66	1.79	-0.749	5.33E-54	-53.2732727909734
NPY5R	ENSG00000164129.11	0.04	0.12	-0.107	4.24E-26	-25.3726341434073
NAA15	ENSG00000164134.12	7.575	6.745	0.147	0.107	0.97061622231479
IL15	ENSG00000164136.16	1.59	3.515	-0.802	4.28E-40	-39.3685562309868
FAM160A1	ENSG00000164142.15	2.01	1.565	0.231	0.000634	3.19791074211827
ICE1	ENSG00000164151.11	6.115	7.045	-0.177	1.8E-05	-4.74472749489669
HHIP	ENSG00000164161.9	2.26	2.155	0.047	0.527	0.278189384787453
OTUD4	ENSG00000164164.15	6.585	9.495	-0.469	2.1E-16	-15.6777807052661
LSM6	ENSG00000164167.9	24.37	25.409	-0.058	0.108	-0.96657624451305
TMEM184C	ENSG00000164168.7	14.18	11.18	0.318	0.0568	1.24565166428898
PRMT9	ENSG00000164169.12	5.435	7.565	-0.413	2.22E-28	-27.6536470255494
ITGA2	ENSG00000164171.10	2.48	4.24	-0.59	1.25E-15	-14.9030899869919
MOCS2	ENSG00000164172.18	34.91	34.594	0.013	0.553	0.257274868695302
SLC45A2	ENSG00000164175.14	1.025	0.09	0.894	1.2E-26	25.9208187539524
TMEM161B	ENSG00000164180.13	7.48	7.85	-0.062	0.0243	-1.61439372640169
NDUFAF2	ENSG00000164182.10	41.615	32.801	0.334	8.46E-16	15.072629636961
ZNF474	ENSG00000164185.4	0.11	0.18	-0.088	0.00252	-2.59859945921846
LMBRD2	ENSG00000164187.6	4.08	3.275	0.249	0.000112	3.95078197732982
RANBP3L	ENSG00000164188.8	5.555	4.73	0.194	0.108	0.96657624451305
NIPBL	ENSG00000164190.16	25.465	34.35	-0.418	4.52E-27	-26.3448615651886
RNF180	ENSG00000164197.11	2.47	4.12	-0.561	1.62E-28	-27.7904849854574
SLC25A46	ENSG00000164209.16	12.195	12.595	-0.043	0.0145	-1.83863199776503
STARD4	ENSG00000164211.12	3.285	9.924	-1.35	1.15E-46	-45.9393021596464
PGGT1B	ENSG00000164219.9	8.825	4.54	0.827	1.4E-11	10.8538719643218
F2RL2	ENSG00000164220.6	0.35	0.2	0.17	5.09E-08	7.29328221766324
PRRC1	ENSG00000164244.20	27.985	15.425	0.819	1.86E-31	30.7304870557821
F2RL1	ENSG00000164251.4	9.98	2.575	1.619	6.65E-34	33.1771783546969
WDR41	ENSG00000164253.12	15.68	13.73	0.179	0.111	0.954677021213342
NDUFS4	ENSG00000164258.11	70.114	67.004	0.065	0.253	0.596879478824182
SPINK1	ENSG00000164266.10	2.225	2.58	-0.151	0.0521	-1.28316227670048
HTR4	ENSG00000164270.17	0.03	0.02	0.014	0.00181	2.74232142513082
ESM1	ENSG00000164283.12	0.76	0.785	-0.02	0.5	-0.301029995663981
GRPEL2	ENSG00000164284.14	4.87	3.94	0.249	1.38E-10	9.86012091359876
RHOBTB3	ENSG00000164292.12	17.795	22.05	-0.294	1.22E-07	-6.91364016932525
GPX8	ENSG00000164294.13	4.595	9.058	-0.846	2.35E-25	-24.6289321377283
TIGD6	ENSG00000164296.6	12.555	7.775	0.627	1.56E-31	30.8068754016455
SPZ1	ENSG00000164299.6	0.01	0	0.014	0.262	0.581698708680255
SERINC5	ENSG00000164300.15	48.789	17.132	1.457	6.22E-39	38.2062096153092
PRIMPOL	ENSG00000164306.10	8.225	14.615	-0.759	3.08E-39	-38.5114492834996
ERAP1	ENSG00000164307.12	10.975	12.093	-0.129	0.000484	-3.31515463835559
ERAP2	ENSG00000164308.16	7.265	7.469	-0.035	0.0322	-1.49214412830417
RICTOR	ENSG00000164327.12	3.76	6.12	-0.581	4.64E-22	-21.3334820194451
PAPD4	ENSG00000164329.13	12.385	23.074	-0.847	3.45E-46	-45.4621809049267
UBLCP1	ENSG00000164332.7	13.565	15.335	-0.165	7.66E-08	-7.1157712303674
FAM170A	ENSG00000164334.15	0.04	0.05	-0.014	0.192	-0.71669877129645
UTP15	ENSG00000164338.9	4.465	5.135	-0.167	0.000895	-3.04817696468409
TLR3	ENSG00000164342.12	2.05	2.165	-0.053	0.00134	-2.87289520163519
KLKB1	ENSG00000164344.15	0.17	0.91	-0.707	3.63E-63	-62.4400933749639
NSA2	ENSG00000164346.9	92.706	77.364	0.258	1.32E-07	6.87942606879415
GFM2	ENSG00000164347.17	14.67	12.585	0.206	0.00244	2.61261017366127
TERT	ENSG00000164362.18	0.055	0	0.077	2.66E-13	12.5751183633689
FOXQ1	ENSG00000164379.5	0.73	2.42	-0.983	5.69E-34	-33.2448877336049
LINC01600	ENSG00000164385.8	0.03	0.07	-0.055	1.84E-40	-39.7351821769905
ACSL6	ENSG00000164398.12	0.32	0.44	-0.126	3.48E-08	-7.45842075605342
SEP8	ENSG00000164402.13	13.57	20.99	-0.594	4.82E-27	-26.3169529617611
SHROOM1	ENSG00000164403.14	36.55	51.635	-0.487	3.27E-07	-6.48545224733971
GDF9	ENSG00000164404.8	0.44	0.48	-0.04	0.0802	-1.09582563171584
UQCRQ	ENSG00000164405.10	479.586	321.248	0.577	4.37E-32	31.3595185630296
LEAP2	ENSG00000164406.7	1.14	4.471	-1.354	6.57E-44	-43.1824346304402
GJB7	ENSG00000164411.10	0.01	0.02	-0.014	0.36	-0.443697499232713
SLC35A1	ENSG00000164414.16	28.904	24.075	0.254	0.0183	1.73754891026957
GRIK2	ENSG00000164418.19	0.43	1.46	-0.783	1.09E-50	-49.9625735020594
MB21D1	ENSG00000164430.15	1.26	1.925	-0.372	2.42E-17	-16.6161846340196
FABP7	ENSG00000164434.11	0.04	0.205	-0.212	9.24E-14	-13.0343280287799
TXLNB	ENSG00000164440.14	0.54	0.365	0.174	0.0162	1.79048498545737
SFXN1	ENSG00000164466.12	11.675	11.58	0.011	0.757	0.120904120499927
SAMD3	ENSG00000164483.16	0.5	0.575	-0.07	0.00368	-2.43415218132648
TMEM200A	ENSG00000164484.11	1.19	1.055	0.092	0.215	0.667561540084395
IL22RA2	ENSG00000164485.14	0.02	0.01	0.014	0.245	0.610833915635468
PDSS2	ENSG00000164494.11	16.385	8.605	0.856	1.72E-17	16.7644715530925
STXBP5	ENSG00000164506.14	6.675	9.15	-0.403	3.1E-08	-7.50863830616573
IL31RA	ENSG00000164509.13	0.12	0.13	-0.013	0.962	-0.016824927962187
RAET1E	ENSG00000164520.11	0.11	0.25	-0.171	3.13E-18	-17.5044556624536
PI16	ENSG00000164530.13	2.045	15.37	-2.427	8.41E-36	-35.0752040042021
KIAA0895	ENSG00000164542.12	3.675	2.85	0.28	4.75E-05	4.32330639037513
STK17A	ENSG00000164543.5	5.5	8.055	-0.478	8.38E-17	-16.0767559813697
TRA2A	ENSG00000164548.10	52.325	73.409	-0.481	1.39E-17	-16.8569851997459
FAM183B	ENSG00000164556.7	0.02	0.06	-0.055	8.06E-13	-12.0936649581949
GALNT10	ENSG00000164574.15	11.58	9.205	0.302	8.88E-08	7.0515870342214
SAP30L	ENSG00000164576.11	21.265	21.2	0.004	0.16	0.795880017344075
RPS14	ENSG00000164587.11	1787.155	1295.505	0.464	1.86E-30	29.7304870557821
HCN1	ENSG00000164588.4	0	0.01	-0.014	0.396	-0.402304814074488
MYOZ3	ENSG00000164591.13	0.65	1.75	-0.737	2.54E-28	-27.5951662833801
GPR85	ENSG00000164604.12	0.33	0.65	-0.311	6.53E-09	-8.18508681872493
SLU7	ENSG00000164609.9	23.355	23.41	-0.003	0.989	-0.004803708402821
RP9	ENSG00000164610.8	10.715	13.03	-0.26	1.33E-10	-9.87614835903291
PTTG1	ENSG00000164611.12	6.5	3.205	0.835	1.17E-27	26.9318141382538
FBXL21	ENSG00000164616.14	0.04	1.52	-1.277	2.73E-74	-73.5638373529592
RELL2	ENSG00000164620.8	3.11	3.354	-0.083	0.619	-0.208309350979882
SMAD5-AS1	ENSG00000164621.5	0.095	0.11	-0.02	0.0487	-1.31247103878537
KCNK5	ENSG00000164626.8	0.965	2.41	-0.795	2.07E-36	-35.6840296545431
KIF6	ENSG00000164627.17	0.18	0.25	-0.083	0.00765	-2.11633856484638
ZNF12	ENSG00000164631.18	8.87	10.505	-0.221	5.47E-10	-9.26201267366657
SLC29A4	ENSG00000164638.10	5.295	4.169	0.284	0.00345	2.46218090492673
STEAP1	ENSG00000164647.8	149.483	46.571	1.661	1.13E-60	59.9469215565166
SP8	ENSG00000164651.16	1.785	2.07	-0.141	0.979	-0.009217308196862
MIOS	ENSG00000164654.15	28.365	16.95	0.71	9.22E-24	23.0352690789464
KIAA1324L	ENSG00000164659.14	5.85	6.28	-0.088	0.0255	-1.59345981956604
USP49	ENSG00000164663.13	1.08	1.995	-0.526	2.43E-35	-34.6143937264017
INTS4P1	ENSG00000164669.12	0.255	0.395	-0.153	1.47E-05	-4.83268266525182
SYTL3	ENSG00000164674.15	3.785	5.88	-0.524	8.92E-30	-29.0496351456239
IQUB	ENSG00000164675.10	0.47	0.355	0.118	2.38E-05	4.62342304294349
HEY1	ENSG00000164683.16	2.01	4.935	-0.979	2.25E-47	-46.6478174818886
ZNF704	ENSG00000164684.13	9.8	8.335	0.21	0.0178	1.74957999769111
FABP5	ENSG00000164687.10	48.19	15.395	1.585	4.2E-20	19.3767507096021
SHH	ENSG00000164690.7	0.505	0.8	-0.258	0.417	-0.379863945026242
TAGAP	ENSG00000164691.16	0.89	0.965	-0.056	0.0893	-1.04914854111145
FNDC1	ENSG00000164694.16	0.155	0.135	0.025	0.0788	1.10347378251044
SLC13A4	ENSG00000164707.15	0.135	0.65	-0.54	2.63E-61	-60.5800442515102
PGAM2	ENSG00000164708.5	0.42	1.175	-0.615	8.98E-09	-8.0467236633327
LMTK2	ENSG00000164715.5	6.38	4.645	0.387	1.03E-06	5.98716277529483
SOX17	ENSG00000164736.5	1.3	3.465	-0.957	8.03E-36	-35.0952844547213
HNF4G	ENSG00000164749.11	0.725	0.44	0.261	6.48E-08	7.18842499412941
PEX2	ENSG00000164751.14	44.155	31.815	0.461	0.00102	2.99139982823808
RAD21	ENSG00000164754.12	49.586	39.85	0.308	0.0127	1.89619627904404
SLC30A8	ENSG00000164756.12	0.01	0.03	-0.028	0.00114	-2.94309514866353
MED30	ENSG00000164758.7	9.155	12.06	-0.363	1E-20	-20
TNFRSF11B	ENSG00000164761.8	0.83	0.765	0.052	0.126	0.899629454882437
SBSPON	ENSG00000164764.10	1.28	5.885	-1.594	1.05E-60	-59.9788107009301
PHKG1	ENSG00000164776.9	1.15	2.32	-0.627	1.34E-29	-28.8728952016352
SPIDR	ENSG00000164808.16	36.151	32.43	0.152	0.0432	1.36451625318509
ORC5	ENSG00000164815.10	21.36	12.64	0.713	1.73E-35	34.7619538968712
OSGIN2	ENSG00000164823.9	6.34	5.595	0.154	0.14	0.853871964321762
SUN1	ENSG00000164828.17	41.905	71.014	-0.747	4.77E-31	-30.3214816209599
OXR1	ENSG00000164830.17	11.35	14.505	-0.328	1.86E-12	-11.7304870557821
TMEM74	ENSG00000164841.4	0.05	0.15	-0.131	1.84E-27	-26.7351821769905
FAM86FP	ENSG00000164845.16	0.4	0.79	-0.355	3.77E-22	-21.4236586497942
GPR146	ENSG00000164849.8	3.265	7.2	-0.943	3.92E-50	-49.4067139329795
GPER1	ENSG00000164850.14	2.77	5.785	-0.848	2.05E-24	-23.6882461389442
TMEM184A	ENSG00000164855.15	18.2	14.625	0.297	0.000279	3.5543957967264
NOS3	ENSG00000164867.10	4.365	7.61	-0.682	1.86E-20	-19.7304870557821
MICALL2	ENSG00000164877.18	22.785	51.529	-1.143	2.12E-19	-18.6736641390712
INTS1	ENSG00000164880.15	54.409	58.691	-0.107	0.837	-0.07727454200674
SLC4A2	ENSG00000164889.12	58.45	73.991	-0.335	4.22E-05	-4.37468754903833
SLC7A13	ENSG00000164893.8	0.06	0.02	0.055	2.13E-06	5.67162039656126
FASTK	ENSG00000164896.19	72.358	92.831	-0.355	4.02E-08	-7.39577394691553
TMUB1	ENSG00000164897.12	48.941	49.28	-0.01	0.361	-0.442492798094342
PHAX	ENSG00000164902.13	21.42	14.97	0.489	6.85E-06	5.16430942850757
FOXK1	ENSG00000164916.10	4.11	5.91	-0.435	2.38E-12	-11.6234230429435
OSR2	ENSG00000164920.9	14.545	33.045	-1.131	3.89E-51	-50.4100503986743
YWHAZ	ENSG00000164924.17	260.609	178.433	0.544	5.74E-15	14.241088107602
FZD6	ENSG00000164930.11	11.26	9.365	0.242	0.0561	1.25103713874384
SLC25A32	ENSG00000164933.11	8.68	9.655	-0.138	0.00389	-2.41005039867429
TP53INP1	ENSG00000164938.13	29.195	15.525	0.87	5.17E-28	27.2865094569061
INTS8	ENSG00000164941.13	20.785	25.279	-0.271	6.19E-05	-4.20830935097988
KIAA1429	ENSG00000164944.11	30.974	26.664	0.209	3.5E-14	13.4559319556497
FREM1	ENSG00000164946.19	0.79	1.18	-0.284	5.37E-14	-13.2700257143004
GEM	ENSG00000164949.7	7.785	19.46	-1.22	4.23E-28	-27.373659632625
PDP1	ENSG00000164951.15	8.185	5.035	0.606	6.22E-15	14.2062096153092
TMEM67	ENSG00000164953.15	3.52	5.015	-0.412	2.09E-19	-18.6798537138889
KIAA0196	ENSG00000164961.15	20.18	16.1	0.309	8.79E-10	9.05601112492623
RPP25L	ENSG00000164967.9	53.766	29.56	0.842	1.11E-66	65.9546770212133
FAM219A	ENSG00000164970.14	6.445	14.24	-1.034	5.38E-45	-44.2692177243336
SNAPC3	ENSG00000164975.15	12.49	13.61	-0.115	0.00289	-2.53910215724345
KIAA1161	ENSG00000164976.8	1.32	2.575	-0.624	2.6E-31	-30.5850266520292
NUDT2	ENSG00000164978.17	34.379	27.35	0.32	1.19E-10	9.92445303860747
TMEM65	ENSG00000164983.7	1.72	2.13	-0.203	0.000283	-3.54821356447571
PSIP1	ENSG00000164985.14	20.594	30.83	-0.56	1.21E-31	-30.9172146296835
UBAP1	ENSG00000165006.13	30.804	31.23	-0.019	0.00283	-2.54821356447571
SYK	ENSG00000165025.14	3.375	4.025	-0.2	0.0251	-1.60032627851896
NIPSNAP3B	ENSG00000165028.11	2.08	4.025	-0.706	1.05E-37	-36.9788107009301
NFIL3	ENSG00000165030.3	27.005	46.325	-0.757	3.2E-18	-17.4948500216801
LETM2	ENSG00000165046.12	0.7	1.45	-0.527	1.55E-48	-47.8096683018297
METTL2B	ENSG00000165055.15	9.855	8.045	0.263	1.52E-05	4.81815641205523
FXN	ENSG00000165060.11	13.79	12.145	0.17	1.08E-06	5.96657624451305
ZMAT4	ENSG00000165061.14	0.25	0.36	-0.122	0.000149	-3.82681373158773
NKX6-3	ENSG00000165066.12	0.03	0.04	-0.014	0.381	-0.419075024324381
TMEM71	ENSG00000165071.14	0.52	1.625	-0.788	5.93E-59	-58.2269453066357
MAMDC2	ENSG00000165072.9	1.25	5.335	-1.493	1.73E-67	-66.7619538968712
PRSS37	ENSG00000165076.13	0	0.02	-0.029	5.36E-23	-22.2708352103072
TMC1	ENSG00000165091.15	0.79	0.84	-0.04	0.38	-0.42021640338319
KDM1B	ENSG00000165097.13	6.455	4.565	0.422	0.000217	3.66354026615147
HGSNAT	ENSG00000165102.14	27.179	38.17	-0.475	5.51E-17	-16.2588484011482
RASEF	ENSG00000165105.9	14.56	8.93	0.648	4.99E-14	13.3018994543766
GKAP1	ENSG00000165113.12	7.27	9.2	-0.303	4.7E-22	-21.3279021420643
KIF27	ENSG00000165115.14	2.48	3.79	-0.461	2.74E-25	-24.5622494371796
HNRNPK	ENSG00000165119.18	316.146	249.733	0.339	3.31E-05	4.48017200622428
RP11-213G2.3	ENSG00000165121.10	2.33	2.965	-0.252	3.23E-10	-9.4907974776689
